,title,date_x_tmdb,score_tmdb,genre_tmdb,overview_tmdb,crew_tmdb,orig_title_tmdb,status_tmdb,orig_lang_tmdb,budget_x_tmdb,revenue_tmdb,country_tmdb,Unnamed: 0_top_1000,overview_top_1000,original_language_top_1000,vote_count_top_1000,vote_average_top_1000
28,Finding ʻOhana,01/29/2021 ,64.0,"Action, Adventure, Comedy, Family","Two Brooklyn siblings' summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage.","Kea Peahu, Pili, Alex Aiono, Ioane, Lindsay Watson, Hana, Owen Vaccaro, Casper, Kelly Hu, Leilani, Branscombe Richmond, Kimo, Chris Parnell, Brown, Marc Evan Jackson, Robinson, Ricky Garcia, Monks",Finding ʻOhana, Released, English,127400000.0,493338404.2,US,4195,"The film follows two Brooklyn siblings (Kea Peahu and Alex Aiono) whose summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage.",en,0,0.0
29,The Water,11/04/2022 ,61.0,"Drama, Romance","It is summer in a small village in south-eastern Spain. A storm threatens to cause the river that runs through it to overflow again. A popular old belief claims that some women are predestined to disappear with each new flood, because they have the “water inside”. A band of young people is trying to overcome the weariness of a summer in the village that smells of death by smoking, dancing, and lusting after each other. In this electric atmosphere that precedes the storm, Ana and José live a love affair until the storm bursts.","Bárbara Lennie, Isabella, Nieve de Medina, La Grand-mère d’Ana, Luna Pamiés, Ana, Alberto Olmo, José, Irene Pellicer, Cristina, Pascual Valero, Le père de José, Nayara Garcia, Elena, Lidia Maria Canovas, Maria", El Agua, Released," Spanish, Castilian",43800000.0,671130218.2,ES,4496,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.",en,247,5.0
30,Bāhubali 2: The Conclusion,04/28/2017 ,74.0,"Action, Adventure, Fantasy","When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.","Prabhas, Amarendra Bāhubali / Mahendra Bāhubali 'Shivudu', Rana Daggubati, Bhallaladeva, Sathyaraj, Kattappa, Anushka Shetty, Devasena, Nassar, Bijjaladeva, Ramya Krishnan, Sivagami, Subbaraju, Kumara Varma, Tamannaah Bhatia, Avanthika, Prudhviraj, Official in Kunthala Kingdom", బాహుబలి 2: ది కన్ క్లూజన్, Released, Telugu,31000000.0,275947313.0,IN,3049,"When Mahendra, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",te,289,7.0
31,What's Love Got to Do with It?,01/26/2023 ,62.0,"Romance, Comedy",Two childhood friends now in their thirties must decide whether to follow their heads or their hearts once the man decides to follow his parents' advice and enter into an arranged marriage in Pakistan.,"Lily James, Zoe, Shazad Latif, Kazim Khan, Shabana Azmi, Aisha Khan, Emma Thompson, Cath, Sajal Ali, Maymouna, Oliver Chris, James, Asim Chaudhry, Mo, Jeff Mirza, Zahid Khan, Alice Orr-Ewing, Helena",What's Love Got to Do with It?, Released, English,178400000.0,324436308.4,AU,5013,A film about the singer Tina Turner and how she rose to stardom with her abusive husband Ike Turner and how she gained the courage to break free.,en,143,7.1
32,Return of the Living Dead III,10/01/1993 ,66.0,Horror,"Having recently witnessed the horrific results of a top secret project to bring the dead back to life, a distraught teenager performs the operation on his girlfriend after she's killed in a motorcycle accident.","Melinda Clarke, Julie Walker, J. Trevor Edmond, Curt Reynolds, Kent McCord, Col. John Reynolds, Sarah Douglas, Lt. Col. Sinclair, James T. Callahan, Col. Peck, Basil Wallace, Riverman, Mike Moroff, Santos, Julian Scott Urena, Mogo, Pía Reyes, Alicia",Return of the Living Dead III, Released, English,2000000.0,54207.0,US,5792,"Colonel Reynolds and his group of government scientists continue their work on re-animating the dead for military use. His son Curt uses a stolen security pass to sneak in with his thrill-seeking girlfriend Julie, with shocking, deadly results!",en,202,6.0
34,Legally Blondes,11/25/2009 ,57.0,"Comedy, Family","Moving from England to California, the youngest cousins of Elle Woods must defend themselves when their schools reigning forces turn on the girls and try to frame them for a crime.","Camilla Rosso, Annie Woods, Becky Rosso, Izzy Woods, Tanya Chisholm, Marcie, Christopher Cousins, Richard, Brittany Curran, Tiffany, Lisa Banes, Headmistress Higgins, Curtis Armstrong, Mr. Golden, Rose Abdoo, Sylvia, Bobby Campo, Chris",Legally Blondes, Released, English,11958700.6,16487322.0,AU,9966,The sequel to the two famous Legally Blonde movies.,en,0,0.0
35,Ben 10: Race Against Time,11/21/2007 ,58.0,"Action, Family, Science Fiction","Ben, Gwen, and Max must stop an extraterrestrial who plans to open a gateway that leads to an alien invasion.","Graham Phillips, Ben Tennyson, Christien Anholt, Eon, Haley Ramm, Gwen Tennyson, Beth Littleford, Sandra Tennyson, Don McManus, Carl Tennyson, Aloma Wright, Mrs. Dalton, Lee Majors, Grandpa Max Tennyson, Tyler Patrick Jones, Cash, David Franklin, Heatblast (voice)",Ben 10: Race Against Time, Released, English,101940000.0,365965193.4,US,7150,"""Ben 10: Race Against Time"" has Ben back in his hometown of Bellwood. Even though he's back in school and leaving his hero adventures behind him, it seems that Ben will be facing his greatest challenge yet.",en,99,4.5
36,Minuscule 2: Mandibles from Far Away,01/30/2019 ,71.0,"Animation, Adventure, Family, Comedy","When the first snow falls in the valley, it is urgent to prepare its reserves for the winter. Alas, during the operation, a small ladybug is trapped in a box - to the Caribbean. One solution: reform the shock team.","Bruno Salomone, Man Who Chews Gum, Thierry Frémont, Grocer, Stéphane Coulon, Van Driver, Jean Nanga, Man with Hat, Sarah Cohen-Hadria, Mother, Jean-Paul Guyon, Father, Bô Gaultier de Kermoal, Submarine Radio, Franck Benezech, Construction Manager, Luc Morvan, Restaurant Owner", Minuscule 2 - Les mandibules du bout du monde, Released, French,102500000.0,401766981.6,FR,4392,"In the conditioning unit of a small chestnut can factory in a quiet little country village as winter slowly settles, a young ladybug gets trapped by accident in a cardboard box shipped to the Caribbean. His parent sets off for the paradise archipelago  to find his little kid and free him.  Once he finally makes it there, our hero finds himself entrusted with a double mission: find his offspring and save his new Caribbean ladybug friends’ home threatened by a human construction site. Thankfully our hero will be able to count on his friend the black ant that flies to the rescue from the other side of the world.",fr,53,6.7
37,Piranha,08/03/1978 ,59.0,"Horror, Comedy, Science Fiction","When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal.","Bradford Dillman, Paul Grogan, Heather Menzies, Maggie McKeown, Kevin McCarthy, Dr. Robert Hoak, Keenan Wynn, Jack, Dick Miller, Buck Gardner, Barbara Steele, Dr. Mengers, Belinda Balaski, Betsy, Melody Thomas Scott, Laura Dickinson, Bruce Gordon, Colonel Waxman",Piranha, Released, English,660000.0,16000000.0,US,5313,"Six boys race on their scooters through the narrow streets of their Sanità neighbourhood in Naples. They are fearless daredevils, desperate to make money like their role models, and wear designer clothes and the latest sneakers. These 15-year-olds use the city’s rooftops for assault rifle practice. They deal drugs and do not hesitate to use their weapons to take control of the neighbourhood. Their smart leader, Nicola, knows the rules: in order to get his gang into the game and quickly to the top, he challenges one of the old bosses. But whoever is in charge today may well be dead tomorrow. When his girlfriend causes Nicola to be caught between all fronts, he is forced to make a decision.",it,264,6.9
38,Batman vs Teenage Mutant Ninja Turtles,05/17/2019 ,72.0,"Animation, Action, Family","Batman, Batgirl and Robin forge an alliance with the Teenage Mutant Ninja Turtles to fight against the Turtles' sworn enemy, The Shredder, who has apparently teamed up with Ra's Al Ghul and The League of Assassins.","Troy Baker, Bruce Wayne / Batman / The Joker (voice), Eric Bauza, Leonardo (voice), Darren Criss, Raphael (voice), Kyle Mooney, Michelangelo (voice), Baron Vaughn, Donatello (voice), Rachel Bloom, Barbara Gordon / Batgirl (voice), Ben Giroux, Damian Wayne / Robin (voice), Brian George, Alfred Pennyworth (voice), Jim Meskimen, Comissioner Gordon / Jonathan Crane / Scarecrow (voice)",Batman vs Teenage Mutant Ninja Turtles, Released, English,129000000.0,545992467.0,AU,5909,"Batman, Batgirl and Robin forge an alliance with the Teenage Mutant Ninja Turtles to fight against the Turtles' sworn enemy, The Shredder, who has apparently teamed up with Ra's Al Ghul and The League of Assassins.",en,150,7.0
39,13 Minutes,10/29/2021 ,62.0,"Action, Drama, Thriller","As a new day begins in the small American town of Minninnewah, the residents start their day as ordinary as the next. Mother Nature, however, has other plans for them. Inhabitants have just 13 minutes to seek shelter before the largest tornado on record ravages the town, leaving them struggling to protect their loved ones and fighting for their lives. Left to deal with the aftermath, four families must overcome their differences and find strength in each other in order to survive.","Amy Smart, Kim, Thora Birch, Jess, Anne Heche, Tammy, Trace Adkins, Rick, Yancey Arias, Carlos, Tokala Black Elk, Steve, Peter Facinelli, Brad, Will Peltz, Luke, Davi Santos, Daniel",13 Minutes, Released, English,11920689.0,67413.0,US,2246,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",en,386,5.8
40,Mary and The Witch's Flower,07/08/2017 ,71.0,"Fantasy, Adventure, Animation, Family","Mary Smith, a young girl who lives with her great-aunt in the countryside, follows a mysterious cat into the nearby forest where she finds a strange flower and an old broom, none of which is as ordinary as it seems.","Yuki Amami, Madam Mumblechook (voice), Ryunosuke Kamiki, Peter (voice), Hana Sugisaki, Mary (voice), Fumiyo Kohinata, Doctor Dee (voice), Hikari Mitsushima, The Red-Haired Witch (voice), Jiro Sato, Flanagan (voice), Kenichi Endo, Zebedee (voice), Eri Watanabe, Miss Banks (voice), Shinobu Otake, Great-Aunt Charlotte (voice)", メアリと魔女の花, Released, Japanese,24322800.0,42170089.0,JP,7768,"Mary Smith, a young girl who lives with her great-aunt in the countryside, follows a mysterious cat into the nearby forest where she finds a strange flower and an old broom, none of which is as ordinary as it seems.",ja,417,7.1
41,One Piece: Strong World,12/12/2009 ,75.0,"Animation, Fantasy, Adventure","20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.","Mayumi Tanaka, Monkey D. Luffy (voice), Kazuya Nakai, Roronoa Zoro (voice), Akemi Okamura, Nami (voice), Kappei Yamaguchi, Usopp (voice), Hiroaki Hirata, Sanji (voice), Ikue Otani, Tony Tony Chopper (voice), Yuriko Yamaguchi, Nico Robin (voice), Kazuki Yao, Franky (voice), Cho, Brook (voice)", ワンピース フィルム ストロングワールド, Released, Japanese,18706460.0,53000000.0,JP,3689,"20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.",ja,161,7.6
42,Pokémon: Jirachi - Wish Maker,07/19/2003 ,66.0,"Family, Action, Animation, Adventure, Fantasy, Science Fiction","Ash, May, Brock, and Max come upon the festival of the Wishing Star of Seven Nights. During their enjoyment, the legendary Pokemon--Jirachi, descends from the heavens and befriends Max. Jirachi, with the power to grant any wish, is sought after by many people wanting to claim its power. One man seeks to use its legendary power to revive an ancient Pokemon known as Groudon, unaware of the dangers hidden within Jirachi's powers","Rica Matsumoto, Satoshi (voice), Yuji Ueda, Takeshi / Sonans (voice), KAORI, Haruka (voice), Fushigi Yamada, Masato (voice), Ikue Otani, Pikachu (voice), Tomiko Suzuki, Jirachi (voice), Shin-ichiro Miki, Kojiro / Flygon (voice), Megumi Hayashibara, Musashi / Absol (voice), Inuko Inuyama, Nyarth (voice)", 劇場版ポケットモンスター アドバンスジェネレーション 七夜の願い星 ジラーチ, Released, Japanese,8391625.8,334000000.0,JP,8705,"Ash, May, Brock, and Max come upon the festival of the Wishing Star of Seven Nights. During their enjoyment, the legendary Pokemon--Jirachi, descends from the heavens and befriends Max. Jirachi, with the power to grant any wish, is sought after by many people wanting to claim its power. One man seeks to use its legendary power to revive an ancient Pokemon known as Groudon, unaware of the dangers hidden within Jirachi's powers",ja,131,6.3
43,The Scorpion King 4: Quest for Power,01/09/2015 ,52.0,"Action, Adventure, Fantasy","When he is betrayed by a trusted friend, Mathayus must marshal all his strength and cunning to outwit a formidable opponent who will stop at nothing to unlock a supreme ancient power.","Victor Webster, Mathayus, Ellen Hollman, Valina Reskov, Barry Bostwick, Sorrell Reskov, Will Kemp, Drazen, M. Emmet Walsh, Gorak, Brandon Hardesty, Boris, Esmé Bianco, Feminina, Rodger Halston, Roland, Lou Ferrigno, Skizurra",The Scorpion King 4: Quest for Power, Released, English,153800000.0,644347414.0,AU,4684,"When he is betrayed by a trusted friend, Mathayus must marshal all his strength and cunning to outwit a formidable opponent who will stop at nothing to unlock a supreme ancient power.",en,109,4.7
44,Robin-B-Hood,09/29/2006 ,70.0,"Drama, Action, Comedy","For never-do-well compulsive gambler Fong, there's only one thing more fearsome than debtors at his doorstep - having to coax a crying baby. But what if the baby becomes his golden goose to fend off his debtors? Can he overcome his phobia of diapers, milk bottles, and cloying lullabies?","Jackie Chan, Thongs / Slipper (Fong Ka-Ho), Louis Koo, Octopus, Michael Hui, Landlord, Charlene Choi, Pak Yin, Yuen Biao, Inspector Steve Mok, Teresa Carpio, Landlady, Gao Yuanyuan, Melody, Terence Yin, Max Hung, Conroy Chan, McDaddy", 寶貝計劃, Released, Cantonese,136200000.0,435898845.0,HK,9255,"For never-do-well compulsive gambler Fong, there's only one thing more fearsome than debtors at his doorstep - having to coax a crying baby. But what if the baby becomes his golden goose to fend off his debtors? Can he overcome his phobia of diapers, milk bottles, and cloying lullabies?",cn,235,6.6
45,Little Lies,09/21/2022 ,76.0,"Comedy, Romance, Thriller","Amidst the problems in their childless marriage, Matías and Eva try their hand at matchmaking, setting up their friend Barbara with the man who seems perfect, Julián. Once they realize that Julian is not what he seems, they try to warn Barbara away, but she may already be too infatuated.","Lucas Akoskin, Matías, Leonor Varela, Eva, Florencia Peña, Bárbara, Benjamín Vicuña, Julián, Coca Guazzini, Julián's mother, Germán Baudino, , Flor Vigna, Claudia, Agustina Suásquita, Tenista Morocha", Miénteme, Released," Spanish, Castilian",84800000.0,543128898.6,AR,6860,"A writer returns home to his estate after service in World War I. He has developed a very bad case of depression due to a war wound concerning his genitalia. He contemplates suicide, but recovers after becoming interested in his caretaker's 12 year-old war orphan niece, who now lives in the manor.",it,7,6.5
46,Fate/stay night: Heaven's Feel II. Lost Butterfly,01/12/2019 ,69.0,"Animation, Action, Fantasy, Drama, Romance","The Fifth Holy Grail War continues, and the ensuing chaos results in higher stakes for all participants. Shirou Emiya continues to participate in the war, aspiring to be a hero of justice who saves everyone. He sets out in search of the truth behind a mysterious dark shadow and its murder spree, determined to defeat it.  Meanwhile, Shinji Matou sets his own plans into motion, threatening Shirou through his sister Sakura Matou. Shirou and Rin Tohsaka battle Shinji, hoping to relieve Sakura from the abuses of her brother. But the ugly truth of the Matou siblings begins to surface, and many dark secrets are exposed.","Noriaki Sugiyama, Shirou Emiya (voice), Noriko Shitaya, Sakura Matou (voice), Hiroshi Kamiya, Shinji Matou (voice), Ayako Kawasumi, Saber Alter (voice), Kana Ueda, Rin Tohsaka (voice), Miki Ito, Taiga Fujimura (voice), Jouji Nakata, Kirei Kotomine (voice), Masane Tsukayama, Zouken Matou (voice), Tomokazu Seki, Gilgamesh (voice)", 劇場版「Fate/stay night [Heaven’s Feel]」Ⅱ.lost butterfly, Released, Japanese,55020000.0,19790000.0,JP,1653,"Theatrical-release adaptation of the visual novel ""Fate/stay night"", following the third and final route. (Part 2 of a trilogy.)",ja,82,5.8
47,Don't Look Now... We're Being Shot At!,12/08/1966 ,79.0,"Comedy, War","During World War II, two French civilians and a downed British Bomber Crew set out from Paris to cross the demarcation line between Nazi-occupied Northern France and the South. From there they will be able to escape to England. First, they must avoid German troops - and the consequences of their own blunders.","Bourvil, Augustin Bouvet, house painter, Louis de Funès, Stanislas Lefort, orchestra conductor, Terry-Thomas, Sir Reginald Brook, aka 'Big Moustache', Claudio Brook, Peter Cunningham, Mike Marshall, Alan Mac Intosh, Marie Dubois, Juliette, the Guignol's little girl, Pierre Bertin, Juliette's grandfather, puppeteer, Andréa Parisy, Sister Marie-Odile, Mary Marquet, The mother superior", La Grande Vadrouille, Released, French,28160000.0,725025622.4,FR,1138,"During World War II, two French civilians and a downed British Bomber Crew set out from Paris to cross the demarcation line between Nazi-occupied Northern France and the South. From there they will be able to escape to England. First, they must avoid German troops - and the consequences of their own blunders.",fr,749,7.9
48,Fast & Furious,04/02/2009 ,67.0,"Action, Crime, Drama, Thriller","When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.","Vin Diesel, Dominic Toretto, Paul Walker, Brian O'Conner, Michelle Rodriguez, Letty Ortiz, Jordana Brewster, Mia Toretto, John Ortiz, Ramon Campos, Laz Alonso, Fenix Calderon, Sung Kang, Han Lue, Tego Calderon, Tego, Gal Gadot, Gisele Yashar",Fast & Furious, Released, English,85000000.0,359347833.0,AU,5498,Tenth and final installment of the Fast and Furious franchise.,en,0,0.0
49,Pokémon the Movie: Black - Victini and Reshiram,03/07/2012 ,66.0,"Animation, Family, Adventure, Drama, Fantasy","The Kingdom of the People of the Earth once ruled over the land, but now all that remains is the Sword of the Earth. in the city of Eindoak. Satoshi, Iris, and Dent arrive in Eindoak during a harvest festival's Pokémon Tournament and meet the legendary Pokémon Victini who wishes to share its powers of victory to someone. Elsewhere in the city, a descendant of the People of the Earth named Dred Grangil has arrived who seeks to revive the kingdom's power with the Sword of the Earth, bringing them back into power over the land, and Satoshi and his friends must stop him before he destroys the land along with Victini.","Rica Matsumoto, Satoshi (voice), Ikue Otani, Pikachu (voice), Aoi Yuki, Iris (voice), Minami Tsuda, Kibago (voice), Mamoru Miyano, Dent (voice), Megumi Hayashibara, Musashi (voice), Shin-ichiro Miki, Kojiro / Iwapalace (voice), Inuko Inuyama, Nyarth (voice), Unsho Ishizuka, Narrator (voice)", 劇場版ポケットモンスター ベストウイッシュ ビクティニと白き英雄 レシラム, Released, Japanese,102000000.0,677502761.6,AU,9776,"The Kingdom of the People of the Earth once ruled over the land, but now all that remains is the Sword of the Earth. in the city of Eindoak. Satoshi, Iris, and Dent arrive in Eindoak during a harvest festival's Pokémon Tournament and meet the legendary Pokémon Victini who wishes to share its powers of victory to someone. Elsewhere in the city, a descendant of the People of the Earth named Dred Grangil has arrived who seeks to revive the kingdom's power with the Sword of the Earth, bringing them back into power over the land, and Satoshi and his friends must stop him before he destroys the land along with Victini.",ja,66,6.4
50,The Tale of The Princess Kaguya,06/25/2014 ,81.0,"Animation, Drama, Fantasy","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.","Aki Asakura, The Princess Kaguya (voice), Takeo Chii, The Bamboo Cutter (voice), Nobuko Miyamoto, The Bamboo Cutter's Wife / Narrator (voice), Kengo Kora, Sutemaru (voice), Atsuko Takahata, Lady Sagami (voice), Tomoko Tabata, Kaguya's Maid Girl (voice), Shinosuke Tatekawa, Lord Akita (voice), Takaya Kamikawa, Prince Ishitsukuri (voice), Hikaru Ijūin, Minister of the Right Abe (voice)", かぐや姫の物語, Released, Japanese,49300000.0,24366656.0,AU,2971,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her - but ultimately she must confront her fate, the punishment for her crime.",ja,813,8.1
51,Fullmetal Alchemist the Movie: Conqueror of Shamballa,10/11/2006 ,72.0,"Action, Adventure, Animation, Drama","Munich, Germany, 1923. Two years have passed since Edward Elric was dragged from his own world to ours, leaving behind his country, his friends and his younger brother, Alphonse. Stripped of his alchemical powers, he has been all this time researching rocketry together with Alphonse Heiderich, a young man who resembles his own brother, hoping to one day find a way back home. His efforts so far had proven fruitless, but after lending a hand to a troubled gipsy girl, Edward is thrown in a series of events that can wreak havoc in both worlds. Meanwhile, at his own world, Alphonse Elric ventures deeper into the mysteries of alchemy in search for a way to reunite with his older brother.","Romi Park, Edward Elric (voice), Rie Kugimiya, Alphonse Elric (voice), Toru Okawa, Roy Mustang (voice), Megumi Toyoguchi, Winry Rockbell (voice), Miyu Sawai, Noah (voice), Michiko Neya, Riza Hawkeye (voice), Kazuko Kato, Dietlinde Eckhart (voice), Hidekatsu Shibata, Fritz Lang (voice), Masane Tsukayama, Karl Haushofer (voice)", 劇場版 鋼の錬金術師 シャンバラを征く者, Released, Japanese,125031600.0,408208701.6,AU,8681,"Munich, Germany, 1923. Two years have passed since Edward Elric was dragged from his own world to ours, leaving behind his country, his friends and his younger brother, Alphonse. Stripped of his alchemical powers, he has been all this time researching rocketry together with Alphonse Heiderich, a young man who resembles his own brother, hoping to one day find a way back home. His efforts so far had proven fruitless, but after lending a hand to a troubled gipsy girl, Edward is thrown in a series of events that can wreak havoc in both worlds. Meanwhile, at his own world, Alphonse Elric ventures deeper into the mysteries of alchemy in search for a way to reunite with his older brother.",ja,163,7.1
52,Clerks III,09/04/2022 ,61.0,Comedy,"After narrowly surviving a massive heart attack, Randal enlists his old friend Dante to help him make a movie immortalizing their youthful days at the little convenience store that started it all.","Jeff Anderson, Randal Graves, Brian O'Halloran, Dante Hicks, Jason Mewes, Jay, Kevin Smith, Silent Bob, Rosario Dawson, Becky, Marilyn Ghigliotti, Veronica Loughran, Trevor Fehrman, Elias Grover, Austin Zajur, Blockchain Coltrane, Jennifer Schwalbach Smith, Emma",Clerks III, Released, English,7000000.0,129428736.2,US,6461,"A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire.",en,758,6.9
