file,file_path,source,scene,clouds,hour,color,resol,varient,new_file_name
559_hdri_skies_com_lowRes.hdr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/559_hdri_skies_com_lowRes.hdr,src03,sce03,cl02,hr01,col02,8k,v01,src03_sce03_cl02_hr01_col02_8k_v01.hdr
559_hdri_skies_com.hdr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/559_hdri_skies_com.hdr,src03,sce03,cl02,hr01,col02,16k,v01,src03_sce03_cl02_hr01_col02_16k_v01.hdr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_bright.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_bright.exr,src01,sce01,cl05,hr05,col02,8k,v01,src01_sce01_cl05_hr05_col02_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_medium.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_medium.exr,src01,sce01,cl05,hr07,col02,8k,v01,src01_sce01_cl05_hr07_col02_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Neutral_dark.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Neutral_dark.exr,src01,sce01,cl05,hr06,col02,8k,v01,src01_sce01_cl05_hr06_col02_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Noon.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Noon.exr,src01,sce01,cl05,hr08,col02,8k,v01,src01_sce01_cl05_hr08_col02_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_sunrise_dark.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_sunrise_dark.exr,src01,sce01,cl05,hr04,col02,8k,v01,src01_sce01_cl05_hr04_col02_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_sunrise_low.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_sunrise_low.exr,src01,sce01,cl05,hr12,col02,8k,v01,src01_sce01_cl05_hr12_col02_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_clouds_Sunrise_raw.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_clouds_Sunrise_raw.exr.tx,src01,sce01,cl05,hr10,col03,8k,v01,src01_sce01_cl05_hr10_col03_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_clouds_Sunrise.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_clouds_Sunrise.exr,src01,sce01,cl05,hr10,col02,8k,v01,src01_sce01_cl05_hr10_col02_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Sunset.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Sunset.exr,src01,sce01,cl05,hr09,col02,8k,v01,src01_sce01_cl05_hr09_col02_8k_v01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Sunset2.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Sunset2.exr,src01,sce01,cl05,hr09,col02,8k,v02,src01_sce01_cl05_hr09_col02_8k_v02.exr
Above_Cloud_HDRI_by_CgChoco_Light_clouds_sunset3.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_clouds_sunset3.exr,src01,sce01,cl05,hr09,col02,8k,v03,src01_sce01_cl05_hr09_col02_8k_v03.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_bright.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_bright.exr,src01,sce01,cl03,hr05,col02,8k,v01,src01_sce01_cl03_hr05_col02_8k_v01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_light_cloud.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_light_cloud.exr,src01,sce01,cl03,hr11,col02,8k,v01,src01_sce01_cl03_hr11_col02_8k_v01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_medium_cloud.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_medium_cloud.exr,src01,sce01,cl03,hr07,col02,8k,v01,src01_sce01_cl03_hr07_col02_8k_v01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_medium_cloud2.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_medium_cloud2.exr,src01,sce01,cl03,hr07,col02,8k,v02,src01_sce01_cl03_hr07_col02_8k_v02.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_neutral_dark.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_neutral_dark.exr,src01,sce01,cl03,hr06,col02,8k,v01,src01_sce01_cl03_hr06_col02_8k_v01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_no_cloud.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_no_cloud.exr,src01,sce01,cl04,hr11,col02,8k,v01,src01_sce01_cl04_hr11_col02_8k_v01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Noon.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Noon.exr,src01,sce01,cl03,hr08,col02,8k,v01,src01_sce01_cl03_hr08_col02_8k_v01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunrise.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunrise.exr,src01,sce01,cl03,hr10,col02,8k,v01,src01_sce01_cl03_hr10_col02_8k_v01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunset.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunset.exr,src01,sce01,cl03,hr09,col02,8k,v01,src01_sce01_cl03_hr09_col02_8k_v01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunset2.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunset2.exr,src01,sce01,cl03,hr09,col02,8k,v02,src01_sce01_cl03_hr09_col02_8k_v02.exr
Bench_And_Sidewalk.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Bench_And_Sidewalk.exr,src02,sce04,cl04,hr02,col02,6k,v01,src02_sce04_cl04_hr02_col02_6k_v01.exr
cgaxis_hdri_skies_01_53.hdr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/cgaxis_hdri_skies_01_53.hdr,src04,sce06,cl05,hr03,col02,10k,v01,src04_sce06_cl05_hr03_col02_10k_v01.hdr
cgaxis_hdri_skies_01_69.hdr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/cgaxis_hdri_skies_01_69.hdr,src04,sce07,cl05,hr02,col02,10k,v01,src04_sce07_cl05_hr02_col02_10k_v01.hdr
CloudyClearing.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/CloudyClearing.exr,src02,sce04,cl03,hr07,col02,6k,v01,src02_sce04_cl03_hr07_col02_6k_v01.exr
Creekside.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Creekside.exr,src02,sce05,cl04,hr02,col02,6k,v01,src02_sce05_cl04_hr02_col02_6k_v01.exr
Creekside2.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Creekside2.exr,src02,sce02,cl04,hr02,col02,6k,v02,src02_sce02_cl04_hr02_col02_6k_v02.exr
drakensberg_solitary_mountain_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/drakensberg_solitary_mountain_4k.exr,src02,sce07,cl04,hr02,col02,4k,v01,src02_sce07_cl04_hr02_col02_4k_v01.exr
dreifaltigkeitsberg_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/dreifaltigkeitsberg_4k.exr,src02,sce08,cl04,hr02,col02,4k,v01,src02_sce08_cl04_hr02_col02_4k_v01.exr
EmptyCampsite.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/EmptyCampsite.exr,src02,sce02,cl04,hr02,col02,6k,v01,src02_sce02_cl04_hr02_col02_6k_v01.exr
FishingSpot.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/FishingSpot.exr,src02,sce05,cl04,hr01,col02,6k,v01,src02_sce05_cl04_hr01_col02_6k_v01.exr
forest_slope_8k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/forest_slope_8k.exr,src02,sce02,cl04,hr08,col02,8k,v01,src02_sce02_cl04_hr08_col02_8k_v01.exr
ForestStairs.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/ForestStairs.exr,src02,sce05,cl04,hr03,col02,6k,v01,src02_sce05_cl04_hr03_col02_6k_v01.exr
fouriesburg_mountain_midday_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/fouriesburg_mountain_midday_4k.exr,src02,sce07,cl05,hr08,col02,6k,v01,src02_sce07_cl05_hr08_col02_6k_v01.exr
HDR_151_Forest_8k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/HDR_151_Forest_8k.exr,src02,sce02,cl04,hr11,col02,8k,v01,src02_sce02_cl04_hr11_col02_8k_v01.exr
hegyes_panorama.hdr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/hegyes_panorama.hdr,src02,sce07,cl05,hr02,col02,4k,v01,src02_sce07_cl05_hr02_col02_4k_v01.hdr
industrial_sunset_puresky_16k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/industrial_sunset_puresky_16k.exr,src02,sce01,cl01,hr09,col02,16k,v01,src02_sce01_cl01_hr09_col02_16k_v01.exr
industrial_sunset_puresky_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/industrial_sunset_puresky_4k.exr,src02,sce01,cl01,hr09,col02,4k,v01,src02_sce01_cl01_hr09_col02_4k_v01.exr
industrial_sunset_puresky_8k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/industrial_sunset_puresky_8k.exr,src02,sce01,cl01,hr09,col02,8k,v01,src02_sce01_cl01_hr09_col02_8k_v01.exr
kloofendal_48d_partly_cloudy_8k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/kloofendal_48d_partly_cloudy_8k.exr,src02,sce14,cl02,hr11,col02,8k,v01,src02_sce14_cl02_hr11_col02_8k_v01.exr
LakePath.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/LakePath.exr,src02,sce04,cl03,hr06,col02,6k,v01,src02_sce04_cl03_hr06_col02_6k_v01.exr
LakesideSunset.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/LakesideSunset.exr,src02,sce10,cl04,hr09,col02,6k,v01,src02_sce10_cl04_hr09_col02_6k_v01.exr
LushGreen.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/LushGreen.exr,src02,sce02,cl04,hr11,col02,6k,v01,src02_sce02_cl04_hr11_col02_6k_v01.exr
marry_hall_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/marry_hall_4k.exr,src02,sce11,cl06,hr11,col02,4k,v01,src02_sce11_cl06_hr11_col02_4k_v01.exr
MyRoom.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/MyRoom.exr,src05,sce12,cl06,hr11,col02,6k,v01,src05_sce12_cl06_hr11_col02_6k_v01.exr
OldGate.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/OldGate.exr,src02,sce02,cl04,hr11,col02,6k,v02,src02_sce02_cl04_hr11_col02_6k_v02.exr
outdoor_workshop_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/outdoor_workshop_4k.exr,src02,sce13,cl05,hr05,col02,4k,v01,src02_sce13_cl05_hr05_col02_4k_v01.exr
quarry_03_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/quarry_03_4k.exr,src02,sce13,cl05,hr02,col02,4k,v01,src02_sce13_cl05_hr02_col02_4k_v01.exr
simons_town_rocks_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/simons_town_rocks_4k.exr,src02,sce13,cl04,hr01,col02,4k,v01,src02_sce13_cl04_hr01_col02_4k_v01.exr
spiaggia_di_mondello_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/spiaggia_di_mondello_4k.exr,src02,sce13,cl04,hr05,col02,4k,v01,src02_sce13_cl04_hr05_col02_4k_v01.exr
spruit_sunrise_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/spruit_sunrise_4k.exr,src02,sce14,cl04,hr10,col02,4k,v01,src02_sce14_cl04_hr10_col02_4k_v01.exr
SunnyClearing.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/SunnyClearing.exr,src02,sce05,cl04,hr11,col02,6k,v01,src02_sce05_cl04_hr11_col02_6k_v01.exr
WatersEdge.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/WatersEdge.exr,src02,sce02,cl01,hr06,col02,6k,v01,src02_sce02_cl01_hr06_col02_6k_v01.exr